Trip ID,Height Range(CM),Weight Range(Kg),Starting Point,End Point,Duration(S),Distance(Km),Avg Speed(Km/h),Total Ascent(m),Avg Grade(%),Start_Voltage(V),End_Voltage(V),Energy(%),Wh/km,Power Assistance Level,Wind speed(Km/h),Wind Direction,Weather,Precipitation(mm),Temperature(° C)
1,175-180,65-70,"53.3853148, -6.2559811","53.3857993, -6.2558708",2886,9.36,15.5,52,2.2,41.6,36.8,69.99,33.65,4,34.0,W,Light drizzle,1.2,16.0
2,175-180,65-70,"53.3850353, -6.2556208","53.3836596, -6.2571436",316,1.36,15.7,5,2.0,38.0,37.4,12.8,42.35,4,34.0,W,Light drizzle,1.2,16.0
3,175-180,65-70,"53.3854601, -6.2563126","53.3851441, -6.2536486",668,2.66,15.2,13,1.8,37.4,37.0,7.13,12.06,3,17.6,WSW,Partly cloudy,0.0,14.0
4,175-180,65-70,"53.3849626, -6.253459","53.3851525, -6.2536408",562,2.82,18.2,18,2.0,37.0,36.6,5.92,9.45,5,17.6,WSW,Partly cloudy,0.0,14.0
5,175-180,65-70,"53.3852895, -6.2539675","53.3853593, -6.2560506",68,0.3,16.0,0,1.5,36.6,36.5,1.31,19.65,4,17.6,WSW,Partly cloudy,0.0,14.0
6,175-180,65-70,"53.3854425, -6.256422","53.3852896, -6.2557685",691,4.9,18.2,38,2.3,36.5,35.0,13.5,12.4,5,16.9,S,Cloudy,0.0,16.0
7,175-180,65-70,"53.3855875, -6.2565723","53.3853351, -6.2557181",738,4.21,20.5,23,2.0,41.4,39.8,7.71,8.24,5,27.4,S,Overcast,0.0,16.7
8,175-180,65-70,"53.3855301, -6.2564635","53.3852386, -6.2558246",690,4.43,20.3,29,2.0,41.6,40.3,3.56,3.62,5,27.4,SSE,Overcast,0.1,16.9
9,175-180,60-65,"53.3851591, -6.2561011","53.3853125, -6.260011",720,2.88,15.7,12,1.6,40.7,40.3,1.87,2.92,4,11.5,WSW,Overcast,0.0,10.4
10,175-180,60-65,"53.3853426, -6.259924","53.3848591, -6.2586886",665,3.03,16.4,17,1.9,40.3,39.8,4.35,6.46,3,11.5,WSW,Overcast,0.0,10.4
11,175-180,60-65,"53.3848813, -6.2586995","53.3851975, -6.2560283",421,1.76,15.2,11,2.0,39.8,39.2,9.59,24.52,2,12.6,WSW,Overcast,0.0,11.7
