trip_id,city,distance_km,duration_minutes,traffic_level,demand_factor,battery_health_percent,energy_consumption_kwh,route_difficulty,vehicle_type,time_of_day,day_of_week,weather_condition,temperature_celsius,humidity_percent,driver_rating,surge_multiplier,historical_pricing_factor,is_holiday,charging_stations_nearby,user_type,fare_amount_inr
EV000001,Pune,15.23,40.5,60,2.5857,79,4.84,4,Sedan,Evening_Peak,Saturday,Foggy,17,45,4.5,2.47,0.94,0,4,Premium,1130.74
EV000002,Mumbai,23.72,70.5,60,1.24488,82,5.59,4,SUV,Evening_Peak,Sunday,Storm,26,60,3.6,2,0.93,0,7,Premium,1142.17
EV000003,Delhi,30.65,145.8,81,1.98,96,8.57,6,Compact,Night,Monday,Hot,25,57,3.6,1,0.98,1,9,Regular,929.03
EV000004,Bangalore,51.44,109.9,88,0.9720000000000001,95,7.44,7,Sedan,Night,Sunday,Foggy,15,61,3.7,1,1.04,0,4,Premium,1043.4
EV000005,Bangalore,16.72,67.7,60,2.0930000000000004,90,6.54,7,Compact,Evening_Peak,Wednesday,Foggy,16,55,4.1,1.71,0.97,0,7,Premium,825.76
EV000006,Delhi,17.48,64.5,87,1.8369000000000004,70,3.9,1,SUV,Evening_Peak,Saturday,Foggy,26,83,4,1,0.93,0,2,Regular,378.21
EV000007,Bangalore,12.56,35.8,23,0.76,88,5.28,4,Sedan,Night,Thursday,Clear,15,75,4.6,1,1.07,0,1,Premium,174.35
EV000008,Delhi,47.28,226.5,60,1.1960000000000002,71,5.86,3,Compact,Morning_Peak,Thursday,Clear,37,81,3.7,1,1.04,0,8,Regular,441.98
EV000009,Chennai,40.61,159.2,32,3.2885999999999997,85,6.66,6,Compact,Day_Time,Sunday,Storm,25,67,4.5,2,0.97,0,6,Premium,2906.93
EV000010,Pune,35.97,85.6,86,0.48600000000000004,94,7.4,4,Compact,Early_Morning,Saturday,Foggy,28,96,4.5,1,1.1,0,9,Regular,205.74
EV000011,Delhi,46.36,176.4,61,2.457,96,5.92,3,Compact,Morning_Peak,Thursday,Clear,31,41,4.9,1.77,1.01,1,6,Premium,3243.63
EV000012,Bangalore,9.52,28.6,85,1.8719999999999999,82,5.62,9,Premium,Evening_Peak,Tuesday,Hot,19,37,3.5,1,1.09,0,10,Premium,449.3
EV000013,Chennai,51.94,181.3,77,5.1324,95,5.66,9,Premium,Evening_Peak,Thursday,Rainy,16,49,4.5,1.81,0.96,0,10,Premium,13115.13
EV000014,Mumbai,39.87,190.9,60,3.2032000000000003,72,5.45,8,Sedan,Evening_Peak,Monday,Storm,33,35,3.8,2.02,1.09,0,1,Regular,4179.9
EV000015,Pune,4.41,12.7,64,3.276,83,6.35,5,Compact,Early_Morning,Sunday,Rainy,24,67,4.3,1.71,0.99,0,10,Regular,220.81
EV000016,Mumbai,48.14,168.7,33,3.9059999999999997,75,6.19,4,Compact,Night,Wednesday,Rainy,17,36,3.6,1.54,0.92,0,7,Regular,2764.36
EV000017,Pune,17.23,58.5,54,1.3299999999999998,87,5.52,1,SUV,Day_Time,Tuesday,Storm,37,98,4.5,2,0.98,0,10,Regular,807.6
