distance_km,duration_min,vehicle_type,fare
24.22,82.12,bike,343.2
4.91,16.77,auto,110.5
2.35,6.29,auto,61.47
44.74,121.67,car,1089.34
14.95,57.0,bike,227.41
3.85,14.43,auto,100.6
13.98,41.63,bike,191.52
29.4,77.75,auto,485.73
3.25,9.13,bike,62.29
14.08,52.63,bike,218.79
22.06,49.7,auto,349.25
25.43,72.2,bike,339.44
11.9,25.77,bike,160.42
42.09,107.94,auto,671.15
4.99,13.45,auto,109.72
21.26,55.2,car,536.1
36.64,114.96,bike,482.29
35.0,133.92,car,975.01
12.11,33.27,auto,224.0
18.6,72.29,bike,278.74
17.99,41.54,auto,288.93
47.48,132.59,car,1169.31
35.49,85.07,car,839.76
37.15,132.05,bike,522.21
28.45,92.92,car,751.09
47.98,100.72,bike,557.61
25.87,71.08,car,661.03
15.23,42.31,car,414.3
8.26,20.23,car,236.21
24.01,65.64,auto,400.45
32.02,72.53,auto,500.38
12.97,41.41,car,371.41
29.9,98.25,bike,411.88
47.6,171.71,auto,847.78
5.65,17.87,car,188.54
45.08,125.55,bike,575.32
10.74,36.96,car,317.3
39.9,145.76,car,1094.28
41.13,108.38,bike,514.03
44.53,101.57,auto,682.56
46.79,176.87,auto,854.03
32.33,118.46,auto,590.87
10.59,27.68,auto,188.0
24.0,61.47,auto,400.5
12.05,25.15,bike,153.81
13.37,37.86,auto,237.67
19.35,63.96,auto,346.76
26.52,96.28,car,737.27
13.97,40.32,auto,248.77
47.98,137.21,bike,607.21
25.76,60.01,auto,412.32
41.93,107.26,car,1002.82
41.82,110.69,bike,529.98
7.16,14.93,bike,97.17
48.07,169.58,auto,853.16
3.1,11.12,car,139.8
28.05,88.59,auto,491.43
30.29,116.67,car,862.56
27.37,84.46,bike,371.05
22.02,61.96,bike,293.09
49.64,111.42,auto,750.89
28.67,73.71,auto,469.54
2.11,7.55,bike,43.82
49.42,160.82,bike,660.09
48.34,179.01,bike,672.93
40.77,107.44,car,984.23
20.07,49.0,car,507.92
38.24,114.03,car,967.95
49.29,135.08,car,1194.88
23.15,79.0,car,631.96
4.41,13.46,car,162.12
11.18,28.91,car,305.45
41.39,146.02,bike,575.89
36.58,132.76,bike,515.89
41.74,105.1,bike,518.33
43.46,168.36,car,1208.74
47.33,149.2,car,1214.46
6.32,14.34,car,186.18
10.03,24.42,bike,134.33
29.01,83.17,auto,492.97
31.02,120.81,car,879.5
27.78,70.93,car,679.47
12.67,48.57,car,387.1
4.11,11.04,car,145.8
33.37,132.38,auto,629.46
33.27,117.17,bike,470.91
11.99,36.15,bike,173.01
28.45,72.18,car,702.15
1.0,3.92,bike,35.89
8.89,31.92,car,281.73
18.86,56.19,car,497.23
32.25,68.92,car,744.09
5.69,11.63,auto,107.17
37.44,126.79,bike,507.45
31.71,96.19,auto,542.73
25.14,55.84,car,599.18
1.68,5.26,car,87.98
7.99,27.86,bike,126.39
25.23,71.77,bike,332.31
46.22,102.47,car,1058.01
24.35,49.3,car,559.7
32.76,117.41,bike,462.99
47.47,166.75,bike,649.6
45.63,118.32,car,1096.97
1.47,4.38,car,91.84
29.57,73.72,auto,469.88
5.93,14.43,car,180.76
24.13,58.52,bike,297.99
3.41,12.61,auto,97.3
23.22,74.33,auto,407.51
26.53,86.73,car,713.21
12.46,43.34,bike,181.62
10.27,38.79,auto,212.54
40.76,111.59,car,994.72
22.44,56.48,car,558.0
36.22,115.9,car,950.9
15.28,59.87,auto,312.24
43.37,143.48,auto,750.74
48.28,152.12,bike,634.69
49.49,159.51,auto,851.09
11.2,38.86,bike,177.04
21.54,61.68,bike,280.31
45.56,124.57,car,1115.78
40.82,161.91,bike,593.86
23.06,56.3,car,568.84
5.31,12.91,bike,80.37
18.53,53.97,car,495.76
30.15,99.18,bike,406.7
17.75,47.45,auto,312.15
3.7,13.63,car,153.66
1.17,3.93,car,74.84
2.2,7.17,car,109.24
36.64,96.11,car,892.31
14.63,39.15,bike,196.53
29.34,79.41,auto,480.91
26.48,79.15,auto,461.57
13.91,33.6,bike,188.87
40.45,86.41,car,913.02
42.44,87.3,bike,499.81
14.17,37.87,auto,248.07
29.35,110.9,auto,549.34
1.64,6.43,auto,55.05
41.85,119.33,car,1031.73
2.76,7.36,auto,81.47
17.99,36.56,car,428.39
17.7,60.84,auto,335.96
46.1,98.11,car,1041.71
22.84,68.37,bike,311.81
39.19,98.33,bike,486.31
25.76,63.54,bike,321.95
23.98,87.87,bike,347.29
24.68,74.77,auto,425.07
43.04,171.77,auto,805.8
42.98,113.06,bike,539.1
31.86,66.94,bike,370.86
40.75,144.5,bike,558.43
38.4,130.3,auto,677.69
15.93,34.31,bike,208.52
17.76,70.47,car,535.91
29.08,66.74,auto,452.32
14.24,48.45,bike,212.01
44.6,114.57,car,1069.82
23.87,72.55,auto,422.67
42.64,118.94,car,1053.11
44.92,158.91,auto,797.42
29.26,112.15,auto,552.55
9.45,32.35,auto,195.96
15.77,31.93,auto,248.9
27.57,88.5,car,725.63
43.76,91.95,car,988.83
37.51,122.72,car,979.04
17.01,63.1,car,497.41
43.64,158.37,car,1179.89
22.97,65.69,car,594.9
44.27,139.28,car,1136.97
13.79,46.81,auto,256.85
28.48,76.16,auto,468.77
2.27,4.92,car,102.68
34.8,89.79,bike,439.77
37.82,139.38,auto,685.95
21.79,69.0,bike,297.56
36.8,143.5,auto,684.08
40.67,114.02,bike,523.67
44.38,166.02,car,1220.41
3.4,12.01,car,145.98
47.88,159.22,bike,638.73
23.83,88.68,auto,445.06
38.66,85.43,auto,589.82
24.04,77.4,auto,420.9
10.43,27.08,car,289.83
21.15,67.61,car,579.91
30.3,100.44,auto,542.63
47.55,96.74,bike,554.66
31.68,116.03,auto,575.24
44.43,131.74,auto,737.68
32.78,69.06,bike,383.14
47.51,185.74,bike,681.19
46.46,103.05,car,1059.19
18.54,51.45,car,488.09
19.88,56.61,bike,269.0
23.29,50.56,car,552.36
1.66,5.92,car,95.13
10.81,23.16,car,281.38
38.3,102.18,bike,486.63
34.3,102.44,bike,452.67
28.55,95.19,auto,509.12
16.55,63.22,bike,249.67
36.69,108.93,car,927.67
11.59,43.97,bike,177.49
38.25,83.05,auto,582.69
10.12,30.84,bike,145.55
16.9,65.4,car,508.63
9.74,29.17,bike,138.03
43.74,145.09,bike,592.8
12.85,48.03,bike,199.13
47.63,102.42,car,1070.6
23.15,81.41,auto,421.61
7.4,26.09,auto,165.54
38.23,111.58,car,955.85
45.6,129.66,bike,583.21
36.31,92.8,car,873.27
1.47,3.57,car,80.56
16.16,55.31,bike,238.97
46.91,167.61,bike,651.31
19.45,43.04,car,473.07
37.82,135.77,auto,678.57
16.1,59.09,car,465.52
46.59,155.67,auto,812.63
47.93,150.74,auto,807.23
30.2,96.19,bike,405.82
5.6,15.43,auto,116.33
1.51,3.78,bike,40.3
33.25,71.56,auto,501.54
12.06,46.65,auto,253.01
23.21,75.38,bike,327.4
1.78,4.27,bike,45.36
45.35,141.1,auto,772.81
1.98,4.91,auto,66.8
35.07,97.37,auto,573.01
32.73,114.96,bike,464.14
17.7,64.29,bike,253.58
9.94,20.14,bike,138.76
4.02,10.92,auto,94.28
10.17,23.75,car,280.72
33.71,116.59,auto,602.7
38.79,102.84,car,937.27
10.06,24.53,car,271.09
30.85,62.4,car,695.05
11.85,27.37,auto,199.22
20.56,53.75,car,519.87
29.1,115.03,auto,554.36
44.32,134.29,bike,576.8
6.1,14.43,car,187.49
15.04,58.9,car,455.62
46.58,116.76,bike,570.34
22.26,84.12,car,636.31
3.6,14.3,car,150.49
35.12,126.01,auto,634.75
26.72,66.51,bike,335.34
1.27,4.36,auto,56.36
44.72,114.61,car,1072.05
28.35,89.77,car,745.4
28.5,111.16,car,815.86
35.89,74.1,bike,420.44
5.19,12.6,bike,81.14
29.38,109.73,bike,417.69
14.41,55.31,bike,222.58
4.6,15.92,car,169.21
23.91,48.7,bike,287.5
6.62,17.26,auto,132.66
9.31,29.29,car,275.49
33.89,99.89,bike,449.39
2.77,6.26,auto,79.76
41.0,117.42,car,1017.01
14.79,34.64,car,374.29
45.23,102.22,auto,683.74
4.98,19.02,auto,119.32
14.51,51.38,auto,280.2
43.68,173.72,auto,813.61
41.6,103.67,car,992.43
17.2,64.72,bike,251.93
23.08,71.62,bike,318.82
2.23,7.93,car,109.24
12.24,33.62,auto,222.21
27.42,85.14,bike,370.35
33.01,108.16,car,871.02
14.54,52.17,car,423.07
27.44,84.08,bike,364.68
22.31,87.29,bike,339.32
24.01,48.99,bike,294.07
4.26,13.96,bike,71.83
33.78,74.93,car,788.48
42.54,143.45,car,1123.23
3.82,13.58,auto,103.58
10.23,21.93,car,274.9
7.47,25.82,car,246.94
17.57,50.78,auto,307.03
44.23,124.26,bike,558.07
43.22,140.55,bike,579.22
31.92,93.6,bike,417.97
5.56,19.38,auto,132.79
10.48,38.17,auto,211.03
35.36,134.43,bike,508.53
40.73,94.27,bike,497.09
23.93,50.95,car,559.63
26.35,70.29,auto,443.37
10.47,31.22,auto,200.8
6.39,15.33,auto,122.3
14.42,43.4,car,398.93
17.63,46.72,car,451.9
5.58,13.56,car,171.72
29.98,85.0,auto,503.71
31.61,87.29,bike,401.34
4.28,14.23,bike,81.93
6.44,22.97,auto,146.31
37.72,91.92,bike,465.9
11.93,26.86,bike,152.84
20.44,52.21,car,516.22
40.39,117.66,car,1016.41
37.31,105.12,auto,616.57
15.87,40.17,auto,274.28
23.62,69.27,car,621.22
49.37,163.5,bike,663.82
10.51,34.62,auto,209.83
9.65,29.64,auto,190.61
30.88,106.89,auto,559.2
13.73,46.11,auto,264.79
41.18,128.95,car,1055.52
16.83,53.65,auto,314.13
2.36,7.35,auto,69.54
38.63,125.97,car,1011.47
7.68,17.86,auto,145.61
32.22,72.95,car,757.28
27.66,56.68,car,641.54
10.6,37.27,bike,160.03
8.71,27.81,bike,140.51
30.29,79.5,bike,390.13
49.61,105.8,car,1115.78
48.94,116.14,bike,593.31
32.8,75.07,auto,508.21
21.95,58.41,car,558.89
48.55,161.42,car,1265.72
38.27,151.06,car,1073.28
27.65,67.03,auto,436.25
25.75,69.24,car,649.97
37.41,90.73,bike,454.09
19.66,56.63,car,513.9
3.8,11.0,car,145.05
39.0,87.22,car,901.56
49.19,194.62,auto,916.96
13.03,51.08,car,402.61
22.56,62.41,bike,293.84
49.97,174.94,bike,692.06
39.53,88.35,bike,475.68
47.3,100.42,bike,551.38
41.89,105.88,car,999.03
28.85,60.73,car,663.83
42.34,163.21,bike,600.47
10.26,38.89,car,322.43
25.14,83.08,bike,352.49
32.85,111.87,car,884.19
4.01,14.32,auto,104.75
1.38,4.51,car,88.92
32.99,126.72,car,926.77
11.55,30.57,auto,208.34
11.32,38.24,auto,227.38
39.63,112.75,bike,514.05
28.88,85.15,bike,379.5
48.5,119.91,auto,760.73
21.59,63.69,car,564.75
47.84,186.33,car,1333.07
21.82,60.37,auto,371.56
32.91,95.97,bike,431.84
47.78,141.62,auto,798.15
8.56,17.13,car,226.0
12.05,33.57,car,335.16
1.83,4.7,car,101.11
46.3,173.75,auto,838.58
34.07,83.25,car,811.41
32.21,113.17,auto,573.95
44.7,175.07,auto,835.94
20.15,46.27,auto,329.25
1.9,6.82,auto,61.84
22.82,47.25,auto,355.35
30.02,117.2,car,850.49
34.15,94.07,auto,558.06
34.99,124.26,car,948.2
36.14,111.67,auto,621.4
36.89,85.64,auto,566.52
46.6,111.44,car,1078.5
29.17,75.44,auto,471.43
23.36,71.72,auto,407.36
36.19,74.09,car,811.01
22.0,81.82,car,623.3
26.45,61.89,car,638.72
38.55,149.4,bike,558.21
45.44,142.27,bike,599.6
37.91,130.78,bike,526.94
44.86,138.07,auto,753.93
47.54,134.15,car,1171.62
24.2,54.64,bike,292.04
24.23,69.59,bike,321.3
30.55,88.28,bike,399.26
44.31,167.16,car,1224.62
14.7,40.41,car,395.79
45.4,119.92,car,1099.51
16.66,64.76,auto,326.64
38.98,138.17,bike,537.74
34.84,73.97,car,789.85
15.98,51.14,auto,288.9
11.43,33.93,bike,163.99
25.51,88.51,bike,363.9
31.23,113.11,auto,568.22
24.08,50.56,bike,286.0
28.57,86.82,auto,486.48
1.27,4.61,auto,48.44
14.8,33.64,bike,187.74
38.31,144.86,bike,543.74
7.74,24.6,car,244.91
44.13,114.86,car,1058.03
5.01,18.57,auto,114.14
5.76,12.14,auto,109.32
20.25,44.16,auto,327.35
11.05,25.1,bike,149.82
28.03,93.69,auto,502.32
22.8,78.17,bike,328.41
49.41,147.33,bike,633.97
12.91,43.36,bike,189.25
26.93,56.55,bike,324.94
49.89,125.41,auto,781.31
28.72,74.73,bike,360.73
40.71,106.15,auto,655.13
7.38,16.01,bike,106.38
13.37,43.81,bike,194.01
36.04,102.36,bike,469.88
35.97,139.06,car,1010.75
16.32,44.6,auto,289.01
4.1,14.09,car,156.0
32.36,106.14,car,860.05
42.52,120.77,bike,551.01
2.72,5.62,bike,50.65
21.69,44.24,bike,261.52
10.88,42.66,auto,227.5
32.42,75.91,car,765.05
17.09,66.3,auto,341.11
1.04,3.44,auto,44.12
20.64,70.16,car,575.69
27.17,92.94,bike,378.56
6.85,19.06,auto,139.15
9.53,26.34,auto,180.14
40.75,104.22,bike,500.87
28.29,89.25,auto,487.12
12.0,34.58,bike,167.55
13.27,36.31,bike,177.21
18.01,38.79,bike,230.46
37.63,83.93,auto,582.01
28.27,110.86,car,814.09
41.25,134.6,bike,557.34
3.68,12.67,car,143.87
11.91,46.33,car,366.19
44.71,173.19,auto,824.97
26.22,84.28,car,697.46
30.05,80.41,car,748.01
15.97,40.39,bike,208.23
32.38,124.32,bike,464.73
43.04,98.14,car,991.43
39.83,131.36,auto,691.31
7.59,30.19,car,258.02
24.97,52.16,auto,383.46
2.7,5.71,auto,64.03
38.52,151.79,car,1080.66
14.43,40.51,auto,255.07
38.03,118.98,auto,654.26
10.86,22.61,auto,191.0
8.82,18.57,car,243.67
15.39,43.4,auto,276.67
9.75,22.7,auto,180.96
5.34,14.52,auto,121.27
29.24,81.57,car,734.84
15.24,31.73,bike,194.17
1.27,4.63,bike,45.34
15.71,38.79,bike,212.97
32.8,101.76,car,852.94
48.61,157.23,car,1259.0
44.67,105.33,auto,692.18
16.15,57.32,car,463.35
12.8,26.14,auto,209.88
47.85,101.07,car,1066.69
46.08,129.13,car,1132.92
14.72,37.49,car,378.94
10.21,33.97,car,307.28
42.05,150.47,auto,752.4
26.78,66.63,auto,435.08
41.85,130.81,car,1077.78
8.95,23.78,bike,136.57
35.76,98.75,auto,590.24
35.35,121.53,auto,632.83
2.04,6.67,car,96.22
10.76,30.61,bike,147.8
42.11,156.4,car,1158.85
36.06,88.15,car,859.68
17.67,57.29,auto,320.77
30.25,78.36,bike,388.0
44.01,96.88,car,1000.96
20.1,68.81,auto,375.9
46.25,160.67,bike,632.27
49.33,123.83,car,1161.29
17.72,50.43,bike,242.5
22.35,77.59,bike,314.75
27.21,62.51,bike,332.9
38.26,149.4,auto,719.91
11.75,33.92,car,336.15
10.39,30.35,car,299.28
38.48,116.88,bike,501.67
18.07,64.28,car,520.32
4.36,13.12,auto,109.21
15.55,59.16,auto,307.06
34.51,108.46,auto,590.21
9.24,22.94,auto,166.93
10.47,22.01,bike,138.2
2.74,8.85,auto,83.47
17.6,53.8,car,481.38
26.38,104.7,auto,504.47
42.84,159.41,auto,775.24
26.63,85.74,auto,471.9
1.72,4.18,bike,41.6
28.15,104.67,car,781.58
32.21,70.84,bike,380.84
23.08,77.87,car,633.46
7.09,22.51,car,225.33
49.83,120.41,auto,775.92
31.91,121.63,bike,453.67
22.93,75.42,car,625.47
41.21,99.61,auto,643.39
9.76,28.37,bike,147.86
11.46,27.78,auto,199.78
21.21,78.32,car,609.95
27.87,95.5,bike,392.59
33.78,85.72,auto,543.21
25.39,63.79,car,626.56
18.31,67.42,bike,262.76
32.64,117.55,car,889.39
13.98,38.02,auto,254.78
6.99,24.49,bike,110.32
47.02,175.32,bike,666.26
26.71,100.33,car,752.84
37.21,77.71,auto,554.27
9.68,21.51,car,262.21
3.98,13.58,car,153.91
44.35,95.99,auto,668.45
8.95,28.28,bike,135.0
41.0,158.24,bike,589.93
11.07,34.73,car,323.52
9.11,23.62,bike,134.87
15.18,36.76,bike,194.07
43.95,168.03,car,1213.43
9.22,31.91,auto,182.07
17.61,36.42,car,433.38
49.05,142.25,bike,635.64
29.48,67.2,car,699.59
36.84,99.95,car,905.03
37.29,136.66,bike,528.61
44.45,106.1,car,1030.17
47.69,119.81,auto,755.21
42.01,138.12,auto,732.92
1.59,4.78,car,84.83
10.8,34.87,bike,162.02
30.35,95.07,bike,404.0
35.54,127.15,car,969.68
6.97,15.81,bike,98.7
36.18,73.64,auto,546.95
24.39,64.14,auto,397.95
14.22,31.31,car,361.23
33.85,99.02,auto,563.42
17.21,55.7,car,475.01
1.22,3.9,auto,51.26
47.33,181.51,auto,876.28
15.47,41.19,bike,202.49
19.59,68.53,car,544.55
48.21,176.3,bike,674.23
49.63,179.14,bike,693.72
7.25,26.59,car,234.26
29.67,81.82,car,744.58
21.0,80.48,bike,305.18
18.99,53.62,bike,260.44
13.77,33.02,auto,235.13
31.7,103.09,bike,426.68
27.13,55.28,car,619.1
36.12,105.23,car,903.07
27.45,97.48,bike,385.91
30.66,75.16,auto,483.5
43.38,142.75,bike,586.23
8.23,30.12,auto,171.34
8.6,26.4,auto,171.99
48.86,144.95,bike,637.55
18.77,66.38,bike,269.35
33.14,131.05,bike,483.07
47.72,144.69,bike,623.77
49.98,103.78,auto,733.44
26.02,95.03,auto,476.19
26.74,93.53,car,740.77
26.86,57.93,bike,324.28
47.34,113.91,bike,577.07
17.02,59.09,auto,327.64
8.7,22.01,auto,157.6
26.2,78.3,auto,452.81
12.81,39.24,auto,236.94
22.18,65.0,bike,300.54
26.48,81.74,auto,467.12
5.3,15.22,bike,89.1
47.78,175.21,bike,664.09
16.1,38.91,auto,267.81
12.32,27.74,car,313.79
6.89,21.63,auto,139.26
9.21,34.88,car,302.73
37.01,144.88,auto,686.2
5.59,19.2,car,187.96
14.19,35.27,auto,251.02
18.11,41.7,bike,226.89
43.97,105.33,auto,677.88
42.8,165.64,bike,620.5
18.16,38.94,bike,228.84
35.98,105.42,auto,595.77
32.11,118.34,auto,582.97
19.99,44.22,auto,321.45
45.14,137.12,auto,754.99
29.24,92.27,car,770.18
49.05,168.3,car,1287.48
30.38,85.73,auto,513.95
35.73,127.39,bike,505.7
14.84,51.54,bike,220.76
35.48,96.14,auto,586.99
27.42,84.63,car,717.08
16.36,45.83,car,431.62
38.38,89.84,car,897.11
46.56,111.35,bike,566.73
6.55,23.63,car,227.58
24.5,62.06,bike,304.16
4.03,16.03,auto,106.76
48.21,118.53,car,1125.0
41.91,85.8,car,938.44
46.6,115.56,car,1104.16
23.17,54.77,auto,368.51
35.25,77.0,bike,412.97
8.59,22.8,bike,119.89
46.61,108.59,auto,709.09
17.69,40.44,auto,290.23
35.15,87.22,bike,440.47
39.35,109.51,bike,504.52
6.19,24.32,car,223.28
42.53,106.93,auto,678.49
18.34,66.58,auto,345.92
9.73,28.55,car,284.32
29.42,95.71,bike,398.11
12.78,39.33,bike,178.93
40.42,137.14,bike,555.86
17.63,53.63,bike,238.52
26.25,92.76,car,717.87
43.34,128.16,bike,554.33
47.84,122.7,bike,581.93
16.18,60.47,auto,308.0
7.73,19.39,bike,120.33
46.84,107.15,car,1082.53
7.77,16.25,car,222.85
26.26,73.98,auto,441.24
9.12,32.55,auto,188.07
14.19,33.89,car,361.07
24.34,88.55,car,685.5
26.99,91.43,car,736.99
47.45,98.15,auto,704.65
6.85,24.13,auto,145.67
42.19,163.38,bike,605.45
6.35,13.46,auto,119.5
35.01,115.47,bike,474.0
35.79,142.57,auto,669.98
20.17,72.92,car,579.06
14.26,36.92,bike,190.59
7.06,26.17,car,240.9
